ISO 639-2 Code,ISO 639-1 Code,English name of Language,French name of Language,German name of Language,JW_for_iso1_status,JW_for_iso2_status,Does_have_bible
mis,,Uncoded languages,langues non codées,Einzelne andere Sprachen,N/A,Redirected to EN,0
mac (B)mkd (T),mk,Macedonian,macédonien,Makedonisch,Exists,Redirected to EN,1
mkh,,Mon-Khmer languages,"môn-khmer, langues",Mon-Khmer-Sprachen (Andere),N/A,Redirected to EN,0
mlg,mg,Malagasy,malgache,Malagassi-Sprache,Exists,Redirected to EN,1
mlt,mt,Maltese,maltais,Maltesisch,Exists,Redirected to EN,1
mnc,,Manchu,mandchou,Mandschurisch,N/A,Redirected to EN,0
mni,,Manipuri,manipuri,Meithei-Sprache,N/A,Exists,1
mno,,Manobo languages,"manobo, langues",Manobo-Sprachen,N/A,Redirected to EN,0
moh,,Mohawk,mohawk,Mohawk-Sprache,N/A,Exists,1
mon,mn,Mongolian,mongol,Mongolisch,Exists,Redirected to EN,1
mos,,Mossi,moré,Mossi-Sprache,N/A,Exists,1
mao (B)mri (T),mi,Maori,maori,Maori-Sprache,Exists,Redirected to EN,1
may (B)msa (T),ms,Malay (macrolanguage),malais,Malaiisch,Exists,Redirected to EN,1
mul,,Multiple languages,multilingue,Mehrere Sprachen,N/A,Redirected to EN,0
mun,,Munda languages,"mounda, langues",Mundasprachen (Andere),N/A,Redirected to EN,0
mus,,Creek,muskogee,Muskogisch,N/A,Redirected to EN,0
mwl,,Mirandese,mirandais,Mirandesisch,N/A,Redirected to EN,0
mwr,,Marwari,marvari,Marwari,N/A,Redirected to EN,0
bur (B)mya (T),my,Burmese,birman,Birmanisch,Exists,Redirected to EN,1
myn,,Mayan languages,"maya, langues",Maya-Sprachen,N/A,Redirected to EN,0
myv,,Erzya,erza,Erza-Mordwinisch,N/A,Exists,1
nah,,Nahuatl languages,"nahuatl, langues",Nahuatl,N/A,Redirected to EN,0
nai,,North American Indian languages,"nord-amérindiennes, langues","Indianersprachen, Nordamerika (Andere)",N/A,Redirected to EN,0
nap,,Neapolitan,napolitain,Neapel / Mundart,N/A,Redirected to EN,0
nau,na,Nauru,nauruan,Nauruanisch,Redirected to EN,Redirected to EN,0
